id,parid,code,name,active,ordr,created_at,created_by,updated_at,updated_by
861,461,proj_statuses,"Статусы проектов",1,998,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
862,NULL,qchecks,"Проверки стройконтроля - документ",1,990,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
863,862,qcheck_items,"Проверки стройконтроля - состав",1,991,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
866,NULL,milestone_statuses,"Статусы вех",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
867,NULL,wrkplans,"Планы работ",1,1,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
868,867,wrkplan_msgs,"Сообщения к плану работ",1,2,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
869,868,wrkplanmsg_staffs,"Получатели сообщения плана работ",1,3,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
870,NULL,equiprqsts,"Заявки на материалы и оборудование",1,2,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
871,870,equiprqst_staffs,"Участники обработки заявки",1,3,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
872,870,equiprqst_items,"Состав заявки на материалы и оборудование",1,4,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
875,NULL,bdgtacnttypes,"Типы статей прихода/расхода бюджета",1,875,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
876,NULL,budgets,Бюджеты,1,876,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
877,876,budget_items,"Состав бюджета",1,878,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
878,876,budget_opers,"Операции с бюджетом (приход/расход)",1,879,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
879,876,budget_itmsums,"Плановые и фактические суммы бюджета",1,877,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
880,NULL,user_notices,"Уведомления для пользователей",1,1,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
881,NULL,budget_facts,"Фактические суммы бюджета",1,878,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
891,895,postCategories,"Категории для публикаций",1,891,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
892,895,postTags,"Тэги для публикаций",1,892,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
895,NULL,posts,"Публикации блога",1,890,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
896,895,post_readers,"Читатели публикации",1,893,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
897,895,post_marks,"Оценки публикации",0,999999,"2020-08-25 03:04:23",1,"2020-08-25 03:04:23",1
898,895,post_tags,"Теги публикации",0,999999,"2020-08-25 03:04:23",1,"2020-08-25 03:04:23",1
901,NULL,orgplnpays,"План платежей организации",1,901,"2020-08-25 03:28:09",1,"2020-08-25 03:28:09",1
902,901,orgplnpay_items,"Позиции плана платежей",1,902,"2020-08-25 03:28:09",1,"2020-08-25 03:28:09",1
