id,code,sysobjid,name,adminrightid,org_area,active,ordr,created_at,created_by,updated_at,updated_by
539,grantdocs.create,991,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
540,grantdocs.update,991,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
541,grantdocs.delete,991,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
542,adverts.read,907,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
543,adverts.create,907,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
544,adverts.update,907,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
545,adverts.delete,907,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
546,org_extservices.make_pay,981,"Оплата поставщику услуги",1,0,1,5,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
547,invoices.make_child_bill,915,"Передача счета на перевыставление",1,0,1,8,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
548,jobtimesheets.read,1101,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
549,jobtimesheets.create,1101,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
550,jobtimesheets.update,1101,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
551,jobtimesheets.delete,1101,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
552,jts_items.read,1102,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
553,jts_items.create,1102,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
554,jts_items.update,1102,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
555,jts_items.delete,1102,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
556,viewpoints.read,1111,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
557,viewpoints.create,1111,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
558,viewpoints.update,1111,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
559,viewpoints.delete,1111,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
560,vp_photos.read,1112,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
