id,parid,code,name,active,ordr,model_class,acl_sysobjid,acl_sysobjcode,created_at,created_by,updated_at,updated_by
442,NULL,FiscalDocs,"Список фискальных документов (чеков)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
444,NULL,fsd_Items,"позиции чека",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
446,NULL,fsd_PaySums,"оплата чека",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
451,NULL,baseworktypes,"Базовые виды работ",1,451,baseworktype,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
461,NULL,projects,Проекты,1,333,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
462,NULL,projbudgetitems,"Бюджетные статьи проекта",1,9998,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
463,NULL,pbi_opers,"Операции по статьям бюджета",1,9999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
465,NULL,estdocs,Сметы,1,9999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
466,NULL,buildobjs,"Объекты строительных работ",1,466,buildobj,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
467,466,buildopertypes,"Виды работ объекта",1,467,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
468,465,estdoc_items,"Состав сметы",1,9999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
469,468,estdocitm_resources,"Ресурсы позиции сметы",1,9999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
471,NULL,wrktyperefbooks,"Справочники видов работ",1,999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
472,NULL,wtrb_items,"позиции справочника видов работ",1,999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
481,NULL,mchntypes,"Типы спец-техники",1,9999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
482,NULL,machines,Спец-техника,1,99999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
483,NULL,mchnrqsts,"Заявки на использование спец-техники",1,888,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
484,NULL,mchncontrorgs,"Организации-владельцы техники",1,484,mchncontrorg,481,machines,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
485,483,mchnrqst_facts,"факт. данные о работе техники",1,485,mchnrqst_fact,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
486,482,mchn_opertypes,"Операции, выполнемые спецтехникой",1,482,mchn_opertype,481,machines,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
487,486,mot_prices,"Расценки на эксплуатацию техники в режиме",1,487,mot_price,153,contract_prices,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
488,482,mchn_works,"Регистрация работы спецтехники (для финансового учета)",1,482,mchn_work,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
491,NULL,indicators,"Показатели деятельности",1,9999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
492,NULL,indi_facts,"фактич. значения показателей",1,9999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
501,NULL,mFinDocs,"Работа с финансовыми (учетными) документами",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
502,NULL,FinDocTypes,"Справочник типов фин.документов",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
